project_id,author,code_smells,lines_edited,commits,sonar_smells,mean,std,cv
org.apache:httpcore,Roland Weber,"2,201524132","3,398185537","4,079351774","5,495495495","707,4127273","971,8096444","1,373751994"
org.apache:httpcore,Oleg Kalnichevski,"97,03640982","88,64041591","69,93573624","92,39864865","552,9945596","3073,295602","5,557551243"
org.apache:jxpath,Dmitri Plotnikov,"94,70198675","73,02992965","37,89649416","59,48596551","1174,29","1920,253153","1,635246109"
org.apache:net,Steven M. Cohen,"3,876603877","4,533345818","4,317718941","5,137952883","2633,2","2990,055117","1,135521463"
org.apache:net,Sebastian Bazley,"12,25771226","16,57833751","53,11608961","16,47658545","2410,267632","3400,725501","1,410932735"
org.apache:net,Rory Winston,"24,5973246","24,63306725","13,64562118","31,38932089","1614,895667","2924,168266","1,810747484"
org.apache:net,Niall Pemberton,"12,91291291","1,397972799","2,892057026","12,61160071","1055,065789","3074,187765","2,913740352"
org.apache:net,Jeffrey Brekke,"2,948402948","31,51337812","3,788187373","23,83791256","1096,136","2120,662522","1,934670992"
org.apache:net,Daniel Savarese,"0,1092001092","2,025796484","3,258655804","2,243534359","4147,115","1570,547801","0,378708524"
org.apache:ognl,Simone Tripodi,"4,143646409","35,81619497","41,48783977","17,0212766","1919,77","2441,668","1,271854441"
org.apache:ognl,Maurizio Cucchiara,"11,32596685","15,8849598","29,47067239","7,255864703","116,48375","158,4581343","1,360345407"
org.apache:ognl,Christian Grobmeier,"4,972375691","7,414766122","6,008583691","1,654846336","22,23","2,347594514","0,1056047914"
org.apache:santuario,Sean Mullan,"10,24440978","2,582758749","7,140369209","51,38330933","8662,085385","17456,4727","2,015273682"
org.apache:santuario,Raul Benito Garcia,"9,360374415","10,40248307","10,27516545","9,426716188","3736,791","4515,52532","1,208396541"
org.apache:santuario,Marc Giger,"1,196047842","2,012570517","2,995471961","1,657444604","2842,745","7198,795138","2,53233939"
org.apache:santuario,Colm O hEigeartaigh,"40,82163287","19,92621687","21,69975618","12,82245635","837,2769072","1961,42724","2,342626702"
org.apache:santuario,Christian Geuer-Pollmann,"35,88143526","16,92396249","9,857192616","20,44771217","190,7195652","325,5333127","1,706868996"
org.apache:santuario,Berin Lautenbach,"1,352054082","23,74678833","20,13235806","3,044543824","1055,901429","1077,195827","1,020167033"
org.apache:thrift,Bryan Duxbury,"35,38306452","5,272343309","8,410028562","28,55230872","911,0419231","1263,025724","1,386353023"
org.apache:validator,Sebastian Bazley,"7,220216606","8,057221116","20,48429319","9,76344086","8439,44","5861,064913","0,6944850503"
org.apache:validator,Robert Leland,"6,137184116","20,70352511","6,871727749","6,795698925","2718,366667","3258,865617","1,198832246"
org.apache:validator,Niall Kegan Pemberton,"22,02166065","28,93970607","15,96858639","19,05376344","2639,361429","3480,636579","1,318741928"
org.apache:validator,James Turner,"7,942238267","2,501985246","1,636125654","4,946236559","980,3533333","1262,798311","1,288105286"
org.apache:validator,David Winterfeldt,"32,49097473","7,268877099","2,617801047","23,82795699","343,4816667","610,5081694","1,777411224"
org.apache:validator,David Graham,"11,19133574","13,79717117","13,02356021","10,92473118","1978,6375","2170,801067","1,097119137"
org.apache:validator,Benjamin Speakmon,"7,942238267","2,192977408","3,468586387","4,430107527","95,82","68,31573269","0,7129590137"
org.apache:vfs,adammurdoch,"19,23076923","10,1293468","7,803278689","15,82160871","200,89","426,1074987","2,121098605"
org.apache:vfs,Ralph Goers,"19,63562753","9,991743821","5,573770492","7,300238917","3238,474","4263,905874","1,316640453"
org.apache:vfs,Mario Ivankovits,"21,25506073","15,19742872","14,09836066","35,67825856","696,118125","904,1170097","1,29879826"
org.apache:vfs,Gary D. Gregory,"22,26720648","18,28276529","26,78688525","25,8295726","6109,052381","15685,1876","2,56753202"
org.apache:zookeeper,Rakesh Radhakrishnan,"1,519756839","0,6381430347","2,033036849","2,216856892","5270,8975","6734,229091","1,277624748"
org.apache:zookeeper,Patrick D. Hunt,"94,22492401","18,43223006","16,94197374","91,17647059","6224,863333","9011,955748","1,447735519"
org.apache:zookeeper,Flavio Paiva Junqueira,"1,823708207","4,375233139","3,60016942","0,9877085162","7223,27","6723,878382","0,9308634984"
